Macrotrends Data Download,,,,,,"https://www.macrotrends.net/states/california/population#:~:text=The%20population%20of%20California%20in%202018%20was%2039%2C461%2C588%2C%20a%200.26,a%200.64%25%20increase%20from%202015."
,,,,,,
California Population 1900-2019,,,,,,
Original Source: U.S. Census Bureau - Population Estimates,,,,,,
,,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,
,,,,,,
,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,
,,,,,,
,,,,,,
date, Population, Annual Change,,,,
12/1/1900,1490000,,,,,
12/1/1901,1550000,4.03,,,,
12/1/1902,1623000,4.71,,,,
12/1/1903,1702000,4.87,,,,
12/1/1904,1792000,5.29,,,,
12/1/1905,1893000,5.64,,,,
12/1/1906,1976000,4.38,,,,
12/1/1907,2054000,3.95,,,,
12/1/1908,2161000,5.21,,,,
12/1/1909,2282000,5.6,,,,
12/1/1910,2406000,5.43,,,,
12/1/1911,2534000,5.32,,,,
12/1/1912,2668000,5.29,,,,
12/1/1913,2811000,5.36,,,,
12/1/1914,2934000,4.38,,,,
12/1/1915,3008000,2.52,,,,
12/1/1916,3071000,2.09,,,,
12/1/1917,3171000,3.26,,,,
12/1/1918,3262000,2.87,,,,
12/1/1919,3339000,2.36,,,,
12/1/1920,3554000,6.44,,,,
12/1/1921,3795000,6.78,,,,
12/1/1922,3991000,5.16,,,,
12/1/1923,4270000,6.99,,,,
12/1/1924,4541000,6.35,,,,
12/1/1925,4730000,4.16,,,,
12/1/1926,4929000,4.21,,,,
12/1/1927,5147000,4.42,,,,
12/1/1928,5344000,3.83,,,,
12/1/1929,5531000,3.5,,,,
12/1/1930,5711000,3.25,,,,
12/1/1931,5824000,1.98,,,,
12/1/1932,5894000,1.2,,,,
12/1/1933,5963000,1.17,,,,
12/1/1934,6060000,1.63,,,,
12/1/1935,6175000,1.9,,,,
12/1/1936,6341000,2.69,,,,
12/1/1937,6528000,2.95,,,,
12/1/1938,6656000,1.96,,,,
12/1/1939,6785000,1.94,,,,
12/1/1940,6950000,2.43,,,,
12/1/1941,7237000,4.13,,,,
12/1/1942,7735000,6.88,,,,
12/1/1943,8506000,9.97,,,,
12/1/1944,8945000,5.16,,,,
12/1/1945,9344000,4.46,,,,
12/1/1946,9559000,2.3,,,,
12/1/1947,9832000,2.86,,,,
12/1/1948,10064000,2.36,,,,
12/1/1949,10337000,2.71,,,,
12/1/1950,10677000,3.29,,,,
12/1/1951,11134000,4.28,,,,
12/1/1952,11635000,4.5,,,,
12/1/1953,12251000,5.29,,,,
12/1/1954,12746000,4.04,,,,
12/1/1955,13133000,3.04,,,,
12/1/1956,13713000,4.42,,,,
12/1/1957,14264000,4.02,,,,
12/1/1958,14880000,4.32,,,,
12/1/1959,15467000,3.94,,,,
12/1/1960,15870000,2.61,,,,
12/1/1961,16497000,3.95,,,,
12/1/1962,17072000,3.49,,,,
12/1/1963,17668000,3.49,,,,
12/1/1964,18151000,2.73,,,,
12/1/1965,18585000,2.39,,,,
12/1/1966,18858000,1.47,,,,
12/1/1967,19176000,1.69,,,,
12/1/1968,19394000,1.14,,,,
12/1/1969,19711000,1.63,,,,
12/1/1970,19971069,1.32,,,,
12/1/1971,20345939,1.88,,,,
12/1/1972,20585469,1.18,,,,
12/1/1973,20868728,1.38,,,,
12/1/1974,21173865,1.46,,,,
12/1/1975,21537849,1.72,,,,
12/1/1976,21935909,1.85,,,,
12/1/1977,22352396,1.9,,,,
12/1/1978,22835958,2.16,,,,
12/1/1979,23256880,1.84,,,,
12/1/1980,23800800,2.34,,,,
12/1/1981,24285933,2.04,,,,
12/1/1982,24820009,2.2,,,,
12/1/1983,25360026,2.18,,,,
12/1/1984,25844393,1.91,,,,
12/1/1985,26441109,2.31,,,,
12/1/1986,27102237,2.5,,,,
12/1/1987,27777158,2.49,,,,
12/1/1988,28464249,2.47,,,,
12/1/1989,29218164,2.65,,,,
12/1/1990,29950111,2.51,,,,
12/1/1991,30414114,1.55,,,,
12/1/1992,30875920,1.52,,,,
12/1/1993,31147208,0.88,,,,
12/1/1994,31317179,0.55,,,,
12/1/1995,31493525,0.56,,,,
12/1/1996,31780829,0.91,,,,
12/1/1997,32217708,1.37,,,,
12/1/1998,32682794,1.44,,,,
12/1/1999,33145121,1.41,,,,
12/1/2000,33987977,2.54,,,,
12/1/2001,34479458,1.45,,,,
12/1/2002,34871843,1.14,,,,
12/1/2003,35253159,1.09,,,,
12/1/2004,35574576,0.91,,,,
12/1/2005,35827943,0.71,,,,
12/1/2006,36021202,0.54,,,,
12/1/2007,36250311,0.64,,,,
12/1/2008,36604337,0.98,,,,
12/1/2009,36961229,0.97,,,,
12/1/2010,37319502,0.97,,,,
12/1/2011,37638369,0.85,,,,
12/1/2012,37948800,0.82,,,,
12/1/2013,38260787,0.82,,,,
12/1/2014,38596972,0.88,,,,
12/1/2015,38918045,0.83,,,,
12/1/2016,39167117,0.64,,,,
12/1/2017,39358497,0.49,,,,
12/1/2018,39461588,0.26,,,,
12/1/2019,39512223,0.13,,,,
